index,movieId,title,genres,director,,,,,,,,,,,,,,,,,,,,,
31,31,Dangerous Minds (1995),Drama,Shane Black,,,,,,,,,,,,,,,,,,,,,
32,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Tim Burton,,,,,,,,,,,,,,,,,,,,,
33,34,Babe (1995),Children|Drama,Brett Ratner,,,,,,,,,,,,,,,,,,,,,
34,36,Dead Man Walking (1995),Crime|Drama,Dan Scanlon,,,,,,,,,,,,,,,,,,,,,
35,38,It Takes Two (1995),Children|Comedy,Michael Bay,,,,,,,,,,,,,,,,,,,,,
36,39,Clueless (1995),Comedy|Romance,Michael Bay,,,,,,,,,,,,,,,,,,,,,
37,40,"Cry, the Beloved Country (1995)",Drama,Sam Raimi,,,,,,,,,,,,,,,,,,,,,
38,41,Richard III (1995),Drama|War,Marc Webb,,,,,,,,,,,,,,,,,,,,,
39,42,Dead Presidents (1995),Action|Crime|Drama,Joseph Kosinski,,,,,,,,,,,,,,,,,,,,,
40,43,Restoration (1995),Drama,John Lasseter,,,,,,,,,,,,,,,,,,,,,
41,44,Mortal Kombat (1995),Action|Adventure|Fantasy,Martin Campbell,,,,,,,,,,,,,,,,,,,,,
42,45,To Die For (1995),Comedy|Drama|Thriller,Lee Unkrich,,,,,,,,,,,,,,,,,,,,,
43,46,How to Make an American Quilt (1995),Drama|Romance,McG,,,,,,,,,,,,,,,,,,,,,
44,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,James Wan,,,,,,,,,,,,,,,,,,,,,
45,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Marc Forster,,,,,,,,,,,,,,,,,,,,,
46,49,When Night Is Falling (1995),Drama|Romance,Bryan Singer,,,,,,,,,,,,,,,,,,,,,
47,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,J.J. Abrams,,,,,,,,,,,,,,,,,,,,,
48,52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Bryan Singer,,,,,,,,,,,,,,,,,,,,,
49,53,Lamerica (1994),Adventure|Drama,Baz Luhrmann,,,,,,,,,,,,,,,,,,,,,
50,54,"Big Green, The (1995)",Children|Comedy,Mike Newell,,,,,,,,,,,,,,,,,,,,,
51,55,Georgia (1995),Drama,Guillermo del Toro,,,,,,,,,,,,,,,,,,,,,
52,57,Home for the Holidays (1995),Drama,Michael Bay,,,,,,,,,,,,,,,,,,,,,
53,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,Steven Spielberg,,,,,,,,,,,,,,,,,,,,,
54,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,Peter Sohn,,,,,,,,,,,,,,,,,,,,,
55,61,Eye for an Eye (1996),Drama|Thriller,Brenda Chapman,,,,,,,,,,,,,,,,,,,,,
56,62,Mr. Holland's Opus (1995),Drama,Justin Lin,,,,,,,,,,,,,,,,,,,,,
57,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Andrew Stanton,,,,,,,,,,,,,,,,,,,,,
58,64,Two if by Sea (1996),Comedy|Romance,Brett Ratner,,,,,,,,,,,,,,,,,,,,,
59,65,Bio-Dome (1996),Comedy,Roland Emmerich,,,,,,,,,,,,,,,,,,,,,
60,66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Robert Zemeckis,,,,,,,,,,,,,,,,,,,,,
61,68,French Twist (Gazon maudit) (1995),Comedy|Romance,Lilly Wachowski,,,,,,,,,,,,,,,,,,,,,
62,69,Friday (1995),Comedy,David Yates,,,,,,,,,,,,,,,,,,,,,
63,70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,Andrew Adamson,,,,,,,,,,,,,,,,,,,,,
64,71,Fair Game (1995),Action,Bryan Singer,,,,,,,,,,,,,,,,,,,,,
65,72,Kicking and Screaming (1995),Comedy|Drama,Christopher Nolan,,,,,,,,,,,,,,,,,,,,,
66,73,"Misérables, Les (1995)",Drama|War,Pete Docter,,,,,,,,,,,,,,,,,,,,,
67,74,Bed of Roses (1996),Drama|Romance,Conrad Vernon,,,,,,,,,,,,,,,,,,,,,
68,75,Big Bully (1996),Comedy|Drama,Jon Favreau,,,,,,,,,,,,,,,,,,,,,
69,76,Screamers (1995),Action|Sci-Fi|Thriller,Martin Scorsese,,,,,,,,,,,,,,,,,,,,,
70,77,Nico Icon (1995),Documentary,Barry Sonnenfeld,,,,,,,,,,,,,,,,,,,,,
71,78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,Rob Cohen,,,,,,,,,,,,,,,,,,,,,
72,79,"Juror, The (1996)",Drama|Thriller,David Ayer,,,,,,,,,,,,,,,,,,,,,
73,80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,Tom Shadyac,,,,,,,,,,,,,,,,,,,,,
74,81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Doug Liman,,,,,,,,,,,,,,,,,,,,,
75,82,Antonia's Line (Antonia) (1995),Comedy|Drama,Kevin Reynolds,,,,,,,,,,,,,,,,,,,,,
76,83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,Stephen Sommers,,,,,,,,,,,,,,,,,,,,,
77,85,Angels and Insects (1995),Drama|Romance,Pete Docter,,,,,,,,,,,,,,,,,,,,,
78,86,White Squall (1996),Action|Adventure|Drama,Jon Favreau,,,,,,,,,,,,,,,,,,,,,
79,87,Dunston Checks In (1996),Children|Comedy,Jon Favreau,,,,,,,,,,,,,,,,,,,,,
80,88,Black Sheep (1996),Comedy,Rupert Sanders,,,,,,,,,,,,,,,,,,,,,
81,89,Nick of Time (1995),Action|Thriller,Robert Stromberg,,,,,,,,,,,,,,,,,,,,,
82,92,Mary Reilly (1996),Drama|Horror|Thriller,Matt Reeves,,,,,,,,,,,,,,,,,,,,,
83,93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Roland Joff,,,,,,,,,,,,,,,,,,,,,
84,94,Beautiful Girls (1996),Comedy|Drama|Romance,Carl Rinsch,,,,,,,,,,,,,,,,,,,,,
85,95,Broken Arrow (1996),Action|Adventure|Thriller,Anthony Russo,,,,,,,,,,,,,,,,,,,,,
86,96,In the Bleak Midwinter (1995),Comedy|Drama,Mike Mitchell,,,,,,,,,,,,,,,,,,,,,
87,97,"Hate (Haine, La) (1995)",Crime|Drama,Brad Bird,,,,,,,,,,,,,,,,,,,,,
88,99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Chris Williams,,,,,,,,,,,,,,,,,,,,,
89,100,City Hall (1996),Drama|Thriller,Rich Moore,,,,,,,,,,,,,,,,,,,,,
90,101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Robert Zemeckis,,,,,,,,,,,,,,,,,,,,,
91,102,Mr. Wrong (1996),Comedy,Roland Emmerich,,,,,,,,,,,,,,,,,,,,,
92,103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,Chris Sanders,,,,,,,,,,,,,,,,,,,,,
93,104,Happy Gilmore (1996),Comedy,Jonathan Mostow,,,,,,,,,,,,,,,,,,,,,
94,105,"Bridges of Madison County, The (1995)",Drama|Romance,James Gunn,,,,,,,,,,,,,,,,,,,,,
95,106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Christopher Nolan,,,,,,,,,,,,,,,,,,,,,
96,107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,Christopher Nolan,,,,,,,,,,,,,,,,,,,,,
97,108,Catwalk (1996),Documentary,Hideaki Anno,,,,,,,,,,,,,,,,,,,,,
98,110,Braveheart (1995),Action|Drama|War,Peter Jackson,,,,,,,,,,,,,,,,,,,,,
99,111,Taxi Driver (1976),Crime|Drama|Thriller,Rob Cohen,,,,,,,,,,,,,,,,,,,,,
100,112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,David Fincher,,,,,,,,,,,,,,,,,,,,,
101,113,Before and After (1996),Drama|Mystery,Matthew Vaughn,,,,,,,,,,,,,,,,,,,,,
102,116,Anne Frank Remembered (1995),Documentary,Francis Lawrence,,,,,,,,,,,,,,,,,,,,,
103,117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,Jon Turteltaub,,,,,,,,,,,,,,,,,,,,,
104,118,If Lucy Fell (1996),Comedy|Romance,Wolfgang Petersen,,,,,,,,,,,,,,,,,,,,,
105,119,"Steal Big, Steal Little (1995)",Comedy,James Bobin,,,,,,,,,,,,,,,,,,,,,
106,121,"Boys of St. Vincent, The (1992)",Drama,Chris Miller,,,,,,,,,,,,,,,,,,,,,
107,122,Boomerang (1992),Comedy|Romance,Duncan Jones,,,,,,,,,,,,,,,,,,,,,
108,123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,Alan Taylor,,,,,,,,,,,,,,,,,,,,,
109,125,Flirting With Disaster (1996),Comedy,Michael Apted,,,,,,,,,,,,,,,,,,,,,
110,126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,Michael Bay,,,,,,,,,,,,,,,,,,,,,
111,128,Jupiter's Wife (1994),Documentary,Michael Bay,,,,,,,,,,,,,,,,,,,,,
112,129,Pie in the Sky (1996),Comedy|Romance,Oliver Stone,,,,,,,,,,,,,,,,,,,,,
113,132,Jade (1995),Thriller,David Yates,,,,,,,,,,,,,,,,,,,,,
114,135,Down Periscope (1996),Comedy,Mike Newell,,,,,,,,,,,,,,,,,,,,,
115,137,Man of the Year (1995),Documentary,Peter Berg,,,,,,,,,,,,,,,,,,,,,
116,140,Up Close and Personal (1996),Drama|Romance,Francis Lawrence,,,,,,,,,,,,,,,,,,,,,
117,141,"Birdcage, The (1996)",Comedy,Tim Burton,,,,,,,,,,,,,,,,,,,,,
118,144,"Brothers McMullen, The (1995)",Comedy,Jan Pinkava,,,,,,,,,,,,,,,,,,,,,
119,145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,Christopher Nolan,,,,,,,,,,,,,,,,,,,,,
120,146,"Amazing Panda Adventure, The (1995)",Adventure|Children,Eric Darnell,,,,,,,,,,,,,,,,,,,,,
121,147,"Basketball Diaries, The (1995)",Drama,Shawn Levy,,,,,,,,,,,,,,,,,,,,,
122,148,"Awfully Big Adventure, An (1995)",Drama,Gavin Hood,,,,,,,,,,,,,,,,,,,,,
123,149,Amateur (1994),Crime|Drama|Thriller,Lilly Wachowski,,,,,,,,,,,,,,,,,,,,,
124,150,Apollo 13 (1995),Adventure|Drama|IMAX,Chris Buck,,,,,,,,,,,,,,,,,,,,,
125,151,Rob Roy (1995),Action|Drama|Romance|War,Lilly Wachowski,,,,,,,,,,,,,,,,,,,,,
126,152,"Addiction, The (1995)",Drama|Horror,Alan Taylor,,,,,,,,,,,,,,,,,,,,,
127,153,Batman Forever (1995),Action|Adventure|Comedy|Crime,George Miller,,,,,,,,,,,,,,,,,,,,,
128,154,Beauty of the Day (Belle de jour) (1967),Drama,Ron Howard,,,,,,,,,,,,,,,,,,,,,
129,155,Beyond Rangoon (1995),Adventure|Drama|War,Kenneth Branagh,,,,,,,,,,,,,,,,,,,,,
130,156,Blue in the Face (1995),Comedy|Drama,Chris Williams,,,,,,,,,,,,,,,,,,,,,
131,157,Canadian Bacon (1995),Comedy|War,Hoyt Yeatman,,,,,,,,,,,,,,,,,,,,,
132,158,Casper (1995),Adventure|Children,Jonathan Liebesman,,,,,,,,,,,,,,,,,,,,,
133,159,Clockers (1995),Crime|Drama|Mystery,Tim Burton,,,,,,,,,,,,,,,,,,,,,
134,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Christopher McQuarrie,,,,,,,,,,,,,,,,,,,,,
135,161,Crimson Tide (1995),Drama|Thriller|War,Joe Johnston,,,,,,,,,,,,,,,,,,,,,
136,162,Crumb (1994),Documentary,Steve Hickner,,,,,,,,,,,,,,,,,,,,,
137,163,Desperado (1995),Action|Romance|Western,Jennifer Yuh Nelson,,,,,,,,,,,,,,,,,,,,,
138,164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,M. Night Shyamalan,,,,,,,,,,,,,,,,,,,,,
139,165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,J.J. Abrams,,,,,,,,,,,,,,,,,,,,,
140,166,"Doom Generation, The (1995)",Comedy|Crime|Drama,Roland Emmerich,,,,,,,,,,,,,,,,,,,,,
141,168,First Knight (1995),Action|Drama|Romance,Simon Wells,,,,,,,,,,,,,,,,,,,,,
142,169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,David Bowers,,,,,,,,,,,,,,,,,,,,,
143,170,Hackers (1995),Action|Adventure|Crime|Thriller,Joe Wright,,,,,,,,,,,,,,,,,,,,,
144,171,Jeffrey (1995),Comedy|Drama,Rob Minkoff,,,,,,,,,,,,,,,,,,,,,
145,172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Wolfgang Petersen,,,,,,,,,,,,,,,,,,,,,
146,173,Judge Dredd (1995),Action|Crime|Sci-Fi,Conrad Vernon,,,,,,,,,,,,,,,,,,,,,
147,174,Jury Duty (1995),Comedy,Lee Tamahori,,,,,,,,,,,,,,,,,,,,,
148,175,Kids (1995),Drama,Paul Feig,,,,,,,,,,,,,,,,,,,,,
149,176,Living in Oblivion (1995),Comedy,Michael Bay,,,,,,,,,,,,,,,,,,,,,
150,177,Lord of Illusions (1995),Horror,Barry Sonnenfeld,,,,,,,,,,,,,,,,,,,,,
151,178,Love & Human Remains (1993),Comedy|Drama,Robert Zemeckis,,,,,,,,,,,,,,,,,,,,,
152,179,Mad Love (1995),Drama|Romance,Jennifer Yuh Nelson,,,,,,,,,,,,,,,,,,,,,
153,180,Mallrats (1995),Comedy|Romance,Brad Bird,,,,,,,,,,,,,,,,,,,,,
154,181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,Peter Ramsey,,,,,,,,,,,,,,,,,,,,,
155,183,Mute Witness (1994),Comedy|Horror|Thriller,Dean Parisot,,,,,,,,,,,,,,,,,,,,,
156,184,Nadja (1994),Drama,Edward Zwick,,,,,,,,,,,,,,,,,,,,,
157,185,"Net, The (1995)",Action|Crime|Thriller,Ridley Scott,,,,,,,,,,,,,,,,,,,,,
158,186,Nine Months (1995),Comedy|Romance,J.J. Abrams,,,,,,,,,,,,,,,,,,,,,
159,187,Party Girl (1995),Comedy,Sam Raimi,,,,,,,,,,,,,,,,,,,,,
160,188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,Dean DeBlois,,,,,,,,,,,,,,,,,,,,,
161,189,Reckless (1995),Comedy|Fantasy,Alex Proyas,,,,,,,,,,,,,,,,,,,,,
162,190,Safe (1995),Thriller,Rob Cohen,,,,,,,,,,,,,,,,,,,,,
163,191,"Scarlet Letter, The (1995)",Drama|Romance,Zack Snyder,,,,,,,,,,,,,,,,,,,,,
164,193,Showgirls (1995),Drama,Richard Donner,,,,,,,,,,,,,,,,,,,,,
165,194,Smoke (1995),Comedy|Drama,Ang Lee,,,,,,,,,,,,,,,,,,,,,
166,195,Something to Talk About (1995),Comedy|Drama|Romance,Jon M. Chu,,,,,,,,,,,,,,,,,,,,,
167,196,Species (1995),Horror|Sci-Fi,Breck Eisner,,,,,,,,,,,,,,,,,,,,,
168,198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Hironobu Sakaguchi,,,,,,,,,,,,,,,,,,,,,
169,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,Joe Johnston,,,,,,,,,,,,,,,,,,,,,
170,201,Three Wishes (1995),Drama|Fantasy,Michael Apted,,,,,,,,,,,,,,,,,,,,,
171,202,Total Eclipse (1995),Drama|Romance,Peter Weir,,,,,,,,,,,,,,,,,,,,,
172,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,Bill Condon,,,,,,,,,,,,,,,,,,,,,
173,204,Under Siege 2: Dark Territory (1995),Action,George Miller,,,,,,,,,,,,,,,,,,,,,
174,205,Unstrung Heroes (1995),Comedy|Drama,Louis Leterrier,,,,,,,,,,,,,,,,,,,,,
175,206,Unzipped (1995),Documentary,Steven Spielberg,,,,,,,,,,,,,,,,,,,,,
176,207,"Walk in the Clouds, A (1995)",Drama|Romance,Alejandro Gonz,,,,,,,,,,,,,,,,,,,,,
177,208,Waterworld (1995),Action|Adventure|Sci-Fi,David Soren,,,,,,,,,,,,,,,,,,,,,
178,209,White Man's Burden (1995),Drama,Gore Verbinski,,,,,,,,,,,,,,,,,,,,,
179,210,Wild Bill (1995),Western,Eric Darnell,,,,,,,,,,,,,,,,,,,,,
180,211,"Browning Version, The (1994)",Drama,Paul Greengrass,,,,,,,,,,,,,,,,,,,,,
181,212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,Mark Osborne,,,,,,,,,,,,,,,,,,,,,
182,213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,Peyton Reed,,,,,,,,,,,,,,,,,,,,,
183,214,Before the Rain (Pred dozhdot) (1994),Drama|War,Francis Lawrence,,,,,,,,,,,,,,,,,,,,,
184,215,Before Sunrise (1995),Drama|Romance,Tim Johnson,,,,,,,,,,,,,,,,,,,,,
185,216,Billy Madison (1995),Comedy,Steven Spielberg,,,,,,,,,,,,,,,,,,,,,
186,217,"Babysitter, The (1995)",Drama|Thriller,Michael Bay,,,,,,,,,,,,,,,,,,,,,
187,218,Boys on the Side (1995),Comedy|Drama,Chris Miller,,,,,,,,,,,,,,,,,,,,,
188,219,"Cure, The (1995)",Drama,Phillip Noyce,,,,,,,,,,,,,,,,,,,,,
189,220,Castle Freak (1995),Horror,Darren Aronofsky,,,,,,,,,,,,,,,,,,,,,
190,222,Circle of Friends (1995),Drama|Romance,Steven Spielberg,,,,,,,,,,,,,,,,,,,,,
191,223,Clerks (1994),Comedy,Alfonso Cuar,,,,,,,,,,,,,,,,,,,,,
192,224,Don Juan DeMarco (1995),Comedy|Drama|Romance,Baz Luhrmann,,,,,,,,,,,,,,,,,,,,,
193,225,Disclosure (1994),Drama|Thriller,M. Night Shyamalan,,,,,,,,,,,,,,,,,,,,,
194,227,Drop Zone (1994),Action|Thriller,Ralph Zondag,,,,,,,,,,,,,,,,,,,,,
195,228,Destiny Turns on the Radio (1995),Comedy,Shawn Levy,,,,,,,,,,,,,,,,,,,,,
196,229,Death and the Maiden (1994),Drama|Thriller,Tom McGrath,,,,,,,,,,,,,,,,,,,,,
197,230,Dolores Claiborne (1995),Drama|Thriller,Chris Columbus,,,,,,,,,,,,,,,,,,,,,
198,231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,Robert Schwentke,,,,,,,,,,,,,,,,,,,,,
199,232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,Gore Verbinski,,,,,,,,,,,,,,,,,,,,,
200,233,Exotica (1994),Drama,Francis Lawrence,,,,,,,,,,,,,,,,,,,,,
201,234,Exit to Eden (1994),Comedy,Ron Howard,,,,,,,,,,,,,,,,,,,,,
202,235,Ed Wood (1994),Comedy|Drama,Carlos Saldanha,,,,,,,,,,,,,,,,,,,,,
203,236,French Kiss (1995),Action|Comedy|Romance,Bryan Singer,,,,,,,,,,,,,,,,,,,,,
204,237,Forget Paris (1995),Comedy|Romance,Justin Lin,,,,,,,,,,,,,,,,,,,,,
205,238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,Guy Ritchie,,,,,,,,,,,,,,,,,,,,,
206,239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,Louis Leterrier,,,,,,,,,,,,,,,,,,,,,
207,240,Hideaway (1995),Thriller,Paul Verhoeven,,,,,,,,,,,,,,,,,,,,,
208,241,Fluke (1995),Children|Drama,John McTiernan,,,,,,,,,,,,,,,,,,,,,
209,242,Farinelli: il castrato (1994),Drama|Musical,Tony Gilroy,,,,,,,,,,,,,,,,,,,,,
210,243,Gordy (1995),Children|Comedy|Fantasy,Joel Schumacher,,,,,,,,,,,,,,,,,,,,,
211,246,Hoop Dreams (1994),Documentary,Ron Howard,,,,,,,,,,,,,,,,,,,,,
212,247,Heavenly Creatures (1994),Crime|Drama,John Woo,,,,,,,,,,,,,,,,,,,,,
213,248,Houseguest (1994),Comedy,Wolfgang Petersen,,,,,,,,,,,,,,,,,,,,,
214,249,Immortal Beloved (1994),Drama|Romance,Tim Story,,,,,,,,,,,,,,,,,,,,,
215,250,Heavyweights (Heavy Weights) (1995),Children|Comedy,Ang Lee,,,,,,,,,,,,,,,,,,,,,
216,251,"Hunted, The (1995)",Action,Mark Steven Johnson,,,,,,,,,,,,,,,,,,,,,
217,252,I.Q. (1994),Comedy|Romance,Paul Greengrass,,,,,,,,,,,,,,,,,,,,,
218,253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,McG,,,,,,,,,,,,,,,,,,,,,
219,254,Jefferson in Paris (1995),Drama,Ridley Scott,,,,,,,,,,,,,,,,,,,,,
220,255,"Jerky Boys, The (1995)",Comedy,Rob Minkoff,,,,,,,,,,,,,,,,,,,,,
221,256,Junior (1994),Comedy|Sci-Fi,Neill Blomkamp,,,,,,,,,,,,,,,,,,,,,
222,257,Just Cause (1995),Mystery|Thriller,David Twohy,,,,,,,,,,,,,,,,,,,,,
223,258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,Jos Padilha,,,,,,,,,,,,,,,,,,,,,
224,259,Kiss of Death (1995),Crime|Drama|Thriller,Lilly Wachowski,,,,,,,,,,,,,,,,,,,,,
225,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,James L. Brooks,,,,,,,,,,,,,,,,,,,,,
226,261,Little Women (1994),Drama,James Mangold,,,,,,,,,,,,,,,,,,,,,
227,262,"Little Princess, A (1995)",Children|Drama,Joseph Kosinski,,,,,,,,,,,,,,,,,,,,,
228,263,Ladybird Ladybird (1994),Drama,George Lucas,,,,,,,,,,,,,,,,,,,,,
229,265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,George Lucas,,,,,,,,,,,,,,,,,,,,,
230,266,Legends of the Fall (1994),Drama|Romance|War|Western,James Mangold,,,,,,,,,,,,,,,,,,,,,
231,267,Major Payne (1995),Comedy,George Lucas,,,,,,,,,,,,,,,,,,,,,
232,269,My Crazy Life (Mi vida loca) (1993),Drama,Chris Sanders,,,,,,,,,,,,,,,,,,,,,
233,270,Love Affair (1994),Drama|Romance,Thomas Langmann,,,,,,,,,,,,,,,,,,,,,
234,271,Losing Isaiah (1995),Drama,John Woo,,,,,,,,,,,,,,,,,,,,,
235,272,"Madness of King George, The (1994)",Comedy|Drama,Cedric Nicolas-Troyan,,,,,,,,,,,,,,,,,,,,,
236,273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,Jonathan Liebesman,,,,,,,,,,,,,,,,,,,,,
237,274,Man of the House (1995),Comedy,Alfonso Cuar,,,,,,,,,,,,,,,,,,,,,
238,275,Mixed Nuts (1994),Comedy,Roger Donaldson,,,,,,,,,,,,,,,,,,,,,
239,276,Milk Money (1994),Comedy|Romance,Dave Green,,,,,,,,,,,,,,,,,,,,,
240,277,Miracle on 34th Street (1994),Drama,Josh Trank,,,,,,,,,,,,,,,,,,,,,
241,278,Miami Rhapsody (1995),Comedy,Shawn Levy,,,,,,,,,,,,,,,,,,,,,
242,279,My Family (1995),Drama,Brad Peyton,,,,,,,,,,,,,,,,,,,,,
243,280,Murder in the First (1995),Drama|Thriller,Roger Spottiswoode,,,,,,,,,,,,,,,,,,,,,
244,281,Nobody's Fool (1994),Comedy|Drama|Romance,Roland Emmerich,,,,,,,,,,,,,,,,,,,,,
245,282,Nell (1994),Drama,Steven Soderbergh,,,,,,,,,,,,,,,,,,,,,
246,283,New Jersey Drive (1995),Crime|Drama,Doug Liman,,,,,,,,,,,,,,,,,,,,,
247,284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,Robert Schwentke,,,,,,,,,,,,,,,,,,,,,
248,285,Beyond Bedlam (1993),Drama|Horror,Martin Scorsese,,,,,,,,,,,,,,,,,,,,,
249,287,Nina Takes a Lover (1994),Comedy|Romance,Rob Letterman,,,,,,,,,,,,,,,,,,,,,
250,288,Natural Born Killers (1994),Action|Crime|Thriller,Michel Gondry,,,,,,,,,,,,,,,,,,,,,
251,289,Only You (1994),Comedy|Romance,Noam Murro,,,,,,,,,,,,,,,,,,,,,
